positive,Now all @Apple has to do is get swype on the iphone and it will be crack Iphone that is
positive,@Apple will be adding more carrier support to the iPhone 4S (just announced)
positive,Hilarious @youtube video - guy does a duet with @apple s Siri Pretty much sums up the love affair! http://tco/8ExbnQjY
positive,@RIM you made it too easy for me to switch to @Apple iPhone See ya!
positive,I just realized that the reason I got into twitter was ios5 thanks @apple
positive,Im a current @Blackberry user  little bit disappointed with it! Should I move to @Android or @Apple @iphone
positive,The 16 strangest things Siri has said so far I am SOOO glad that @Apple gave Siri a sense of humor! http://tco/TWAeUDBp via @HappyPlace
positive,Great up close & personal event @Apple tonight in Regent St store!
positive,From which companies do you experience the best customer service aside from @zappos and @apple?
positive,Just apply for a job at @Apple  hope they call me lol
positive,Lmao I think @apple is onto something magical! I am DYING!!! haha Siri suggested where to find whores and where to hide a body lolol
positive,Wow Great deals on refurbed #iPad (first gen) models RT: Apple offers great deals on refurbished 1st-gen iPads http://tco/ukWOKBGd @Apple
positive,Just registered as an @apple developer Heres hoping I can actually do it Any help  greatly appreciated!
positive,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
positive,Come to the dark side 📱@gretcheneclark: Hey @apple  if you send me a free iPhone  I will publicly and ceremoniously burn my #BlackBerry
positive,Hey @apple  if you send me a free iPhone (any version will do)  I will publicly and ceremoniously burn my #BlackBerry
positive,Thank you @apple for Find My Mac - just located and wiped my stolen Air #smallvictory #thievingbastards
positive,Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today  out of warranty
positive,@DailyDealChat @apple Thanks!!
positive,iPads Replace Bound Playbooks on Some NFL Teams http://tco/2UXAWKwf @apple @nytimes
positive,@apple @siri is efffing amazing!!
positive,Amazing new @Apple iOs 5 feature  http://tco/jatFVfpM
positive,RT @TripLingo: Were one of a few Featured Education Apps on the @Apple **Website** today  sweet! http://tco/0yWvbe1Z
positive,Were one of a few Featured Education Apps on the @Apple **Website** today  sweet! http://tco/0yWvbe1Z
positive,When you want something done right  you do it yourself or go to @Apple AT&T youre useless these days #yourdaysarenumbered
positive,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
positive,---» RT @Apple No question bro RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
positive,RT @imightbewrong: Im OVER people bitching about the #iPhone4S I think its the smartest phone Ive ever had and Im very happy
positive,Im OVER people bitching about the #iPhone4S I think its the smartest phone Ive ever had and Im very happy   :)  Way to go @Apple!
positive,@Twitter CEO points to @Apple as corporate mentor as @iOS signups triple http://tco/GCY8iphN
positive,At the bus with my iPhone 
positive,@azee1v1 @apple @umber AppStore is well done  so is iTunes on the mobile devices  I was talking about desktop app
positive,NYTimes: Coach Wants to See You And Bring Your iPad http://tco/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
positive,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend  Steve Jobs brilliance lives on for ever! #iphone #RVA
positive,@bkad5161 than apologize to @apple 
positive,@Apple downloads of iOS 5 are proving popular with users  -- http://tco/NSHLfiUX
positive,Lmfao look at the argument I had with Siri !!@ijustine @apple http://tco/D4VjL7SI
positive,Incredible: 4 million iPhone 4Ss in 3 days 135% better than the iPhone 4 http://tco/1FMJxTMM @apple #iphone4s
positive,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- its working like a champ now
positive,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh my MacBook is 5 years old Ill miss it But its time cc: @Apple -
positive,#Siri now knows who my dad  mom  brother and girlfriend is  Thanks @apple
positive,Well at least the @apple store has amazing call waiting music! #need4s
positive,#sweet #apple replaced my glass #probono thank you @apple
positive,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://tco/AVSl3ygU - #smartphone #sm RT @VinodRad
positive,loving new technology from @apple iPhone 4s  mac air and iCloud are unreal #technology
positive,Im loving this new IOS5 update :) @apple
positive,Another mention for Apple Store: http://tco/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store 
positive,Time to go get my iPhone 4s  Looking forward to sticking it to the man by no longer paying for most texts  Thanks @apple
positive,Thank you @apple My new gf(iphone4s) is great!  She does everything!
positive,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
positive,@Wisconsin_Mommy @Apple Id totally email the company I always get great service at our @Apple store!
positive,@apple loving the new IOS5 upgrade for the iPhone!
positive,The nice @apple tech support guy fixed my iTouch =D
positive,Once again getting great customer service from the @apple store at millenia mall
positive,Is it just me or is #iOS5 faster for the iPad? @apple
positive,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://tco/kj6pJvkH
positive,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
positive,New macbook is too sick @apple
positive,Play on ma man Loving the camera in the #iphone4s Well done @apple  #fb http://tco/tmdFqRe1
positive,So yeah @apple #iOS5 #readinglists have changed my life #nowicanspendevenmoretimeonmyphone
positive,@Apple Safari Reader owns the worldwide web
positive,I love @apple service  My case has cracked 3x and I go in and they hand me a case and I walk out
positive,Said to have laid out the next 4 years @appleJobs last iPhone is 2012 not the iPhone4S iPhone(4G/5) 2012 is magical! http://tco/DxxklUBp
positive,Kind of excited On my way to my last class right now and then going to the @Apple store  so buy #MacOSC Snow Leopard and Lion :-)
positive,i used to be with @blackberry over 4-5yrs  after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
positive,Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing  because you are doing it well! http://tco/ZZc6bE0w
positive,Yessss! Im lovin the iPhone update especially the slide down bar at top of screen =) good job @Apple
positive,4 millions in a weekend  16 #iPhone4S per second This is madness?! no  this is @Apple !!!
positive,@apple you got me Im now invested MacBook Pro next year Time to get on selling more of my #android gear
positive,@iancollinsuk @apple I like what you did there!
positive,I just sent my grandma a post card using my #CardsApp thanks @Apple
positive,@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to Will it blend? Glad to hear its still alive
positive,God Bless @YouTube  @apple for  #appletv & our bad ass system LOVING #PrincessOfChina GB to @coldplay & @rihanna too :)
positive,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)
positive,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking
positive,One word - #wow RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://tco/Zx5Pw0GT (via @apple)
positive,RT @MN2NOVA: Love ios5 Easter eggs Pull down from middle top to bottom and see what pulls down Awesome little feature! #ios5 @apple
positive,Love ios5 Easter eggs Pull down from middle top to bottom and see what pulls down Awesome little feature! #ios5 @apple
positive,Love #ios5 Easter eggs Pull down from middle top to bottom and see what pulls down Awesome little feature! @apple #lovemyiphone
positive,Gone for a run  beautiful morning   man do I love iOS 5 @apple  #iPhone
positive,@apple your simply the best
positive,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nickis
positive,Day305  Im thankful for the great customer service received today from @Apple via phone CS  new phone on the way #365daysofgratefulness
positive,S/O to @apple for replacing my phone for free
positive,Loving the new iPod update @apple
